,influencer,month,capture_audience,denier_audience,sentiment_audience,male_audience,aggressive_audience,followers_audience,verified_audience,freq_audience,capture_echoer,denier_echoer,sentiment_echoer,male_echoer,aggressive_echoer,followers_echoer,verified_echoer,freq_echoer
0,Bill_Nye_Tho,2017-09-01,0.00013833171946327292,0.0,-0.510595926507314,0.3333333333333333,0.3333333333333333,457.0,0.0,16.22880973841465,5.0304341264651146e-05,0.0,0.6923342873096466,1.0,0.0,206258.0,0.0,1.1681514476614698
1,CNN,2017-09-01,0.0002748669230893605,0.08170995670995672,-0.09869224550006601,0.5714285714285714,0.42162393883173105,8715.676624079382,0.0,193.29718435411255,0.0005145458750208115,0.006478059180626625,-0.0492950449914109,0.28859969189746554,0.6317246241267155,38676535.434850946,0.0,80.91946626502141
2,CarbonBrief,2017-09-01,0.0006019991495160951,0.03219797178130512,-0.06315738498661441,0.7962962962962963,0.35619733985962054,7712.919551906833,0.0,82.55343235881399,0.0012524617113454637,0.029689541480231427,0.08018834862069085,0.8168027053816695,0.21632074698658682,297027.2786601154,0.0,25.987372212064635
3,CarolineLucas,2017-09-01,0.0010374878959745469,0.07142857142857142,0.2463798745019501,0.5,0.07142857142857142,8255.785714285714,0.0,85.96691508756476,0.00029553800492982546,0.02546296296296296,0.21983283524758937,0.625,0.25462962962962965,25966.88194444444,0.0,6.925552973421175
4,ClimateCentral,2017-09-01,0.0004934306694256952,0.00979381443298969,0.03174302648414134,0.5979381443298969,0.31239704634305826,7626.82597793552,0.0,90.10951302562428,0.0011310604885251814,0.03150686985518783,0.10540494799212913,0.43838666050612685,0.23314684273277922,1301033.4313008985,0.0,29.371362942016983
5,ClimateReality,2017-09-01,0.00042841539983028555,0.04603423919948871,-0.00023242727288635704,0.6417910447761194,0.3842472479911774,8546.847849383283,0.0,78.13517612162063,0.001832304306061537,0.007417695543945533,0.071890538341728,0.8368158112031183,0.2666712765954385,1737661.1274324805,0.0,31.638987542309327
6,EricHolthaus,2017-09-01,0.00027977201689201265,0.014847512038523273,0.013698182663899345,0.6629213483146067,0.3516172965611168,13578.761184882533,0.0,316.51635946027494,0.0004455009041154529,0.005743674644638265,-0.08989037301652485,0.8660300094680393,0.4449043656850896,982243.5470981296,0.0,37.284958437960334
7,FAOKnowledge,2017-09-01,0.00040377907302793174,0.0,0.15460359860114403,0.7027027027027027,0.3316602316602316,8027.398069498069,0.0,110.40199782882387,0.0005511457873246696,0.003446123367262219,0.16606995747155653,0.9002976190476191,0.1689032764466014,352487.9786171974,0.0,21.90101757677203
8,GCCThinkActTank,2017-09-01,0.07435329921150921,0.0,-0.03909746473553491,0.0,0.034916201117318434,186013.48417132217,0.0,300.4889468115722,0.0016241115894015939,0.004201680672268907,0.100708688214112,0.9285714285714286,0.2865737203972498,1194402.5957473898,0.0,158.72613109740243
9,Greenpeace,2017-09-01,0.000588221365645629,0.05440877534205871,0.016633612928365,0.6036036036036037,0.3372871008553167,9248.094618116227,0.0,125.05816956392586,0.0008575665720735147,0.011809485914969409,0.10076797700037687,0.5199813023748101,0.27974328515376523,1067856.5475732575,0.0,31.990048040127082
10,JoyfullyECO,2017-09-01,0.0022861136795509314,0.0018033589721430012,0.07776087324337136,0.5964912280701754,0.39295520890348473,6536.749603054571,0.0,138.17595509064412,0.012733098048984752,0.009605205368981627,0.2064191183712225,0.43406689515299857,0.2099572663263377,362920.92933469074,0.0,55.42414500103613
11,KHayhoe,2017-09-01,0.00047428018101693575,0.023809523809523808,-0.028013522451840796,0.7142857142857143,0.2660196945911232,6336.857701821988,0.0,119.91846788363549,0.0002924409928671903,0.01858295570132585,0.28517419352667756,0.9076296491367738,0.19465872806101747,373220.30052667874,0.0,24.688208060275585
12,MichaelEMann,2017-09-01,0.00039962496733834404,0.0,0.006960713549507558,0.8888888888888888,0.30864197530864196,27915.092592592595,0.0,111.9352459629334,0.00037542413268497256,0.008016351057489081,0.04138177644719627,0.8727150119306982,0.5370886449348605,1907108.8524960051,0.0,49.882394771627524
13,MikeBloomberg,2017-09-01,0.00027666343892654584,0.14285714285714285,0.18339917127421115,0.5714285714285714,0.34693877551020413,162141.04081632654,0.0,38.65432414754673,8.683487480207638e-05,0.005952380952380952,0.6183028653053773,0.9821428571428571,0.08531746031746032,5579856.115079365,0.0,34.9217461774874
14,NRDC,2017-09-01,0.00039093746804838,0.04240855762594893,0.03303999647748648,0.6086956521739131,0.42215320910973086,3884.530730963883,0.0,160.71253807331746,0.0009043083437268529,0.0075873333214486575,0.051749509687195494,0.8206870058430532,0.2621427220849591,1554452.6568942927,0.0,33.73652725314023
15,NatGeo,2017-09-01,0.00033814420313244497,0.0,0.03731189557582653,0.5555555555555556,0.17676767676767677,23866.63973063973,0.0,49.1117207502459,0.00021789232262596115,0.0005297762641313088,0.11481607107491719,0.8648148148148148,0.7163110415585449,17748146.696451478,0.0,26.44486026448696
16,PaulEDawson,2017-09-01,0.0004959061641136199,0.026427663098125036,0.0030371064852991758,0.660377358490566,0.38178376605937936,6856.433711886183,0.0,106.59390417957232,0.0017471096804640577,0.01115034539437586,0.04422663748112866,0.8208045241180753,0.2996561158170853,750377.9527769978,0.0,34.11188813999744
17,PrisonPlanet,2017-09-01,0.00018444229261769724,0.75,-0.50127170136884,0.6666666666666666,0.75,3558.9166666666665,0.0,59.78714445242411,0.00012576085316162784,0.0,0.0017133801061998757,0.5,0.5,619699.625,0.0,23.79235913093449
18,SafetyPinDaily,2017-09-01,0.00033594846155366283,0.07142857142857142,0.04491048235597252,0.42857142857142855,0.30357142857142855,6301.107142857143,0.0,325.6353678852784,0.0009850069108583118,0.011904761904761904,-0.21554887322307165,0.4095238095238095,0.7530894897641597,2630163.50172626,0.0,166.45834492902318
19,SenSanders,2017-09-01,0.0003425356862900092,0.057387057387057384,-0.07811840246289534,0.6190476190476191,0.4770858770858771,7252.967775742775,0.0,133.6742494880589,0.0005121048916048395,0.012780473890373093,0.11096019103369664,0.9131942632125314,0.18385797686064728,8795613.99828901,0.0,30.118441290737813
20,TIME,2017-09-01,0.00017675719709195985,0.018518518518518517,-0.0837668965034145,0.7222222222222222,0.34259259259259256,4357.2129629629635,0.0,192.02513641078343,0.0007509876082386831,0.004044918621043188,-0.04126005059335833,0.8526493930905695,0.4989453832823582,13644034.553541899,0.0,85.32567938287093
21,UN,2017-09-01,0.00041499515838981876,0.023809523809523808,0.09307768171608324,0.5,0.5297619047619048,28879.630952380954,0.0,280.76023523335635,0.001076107520093636,0.0033678396705884464,0.33377645024389135,0.8711734693877551,0.1696675857695442,10515489.175702145,0.0,36.537883429236174
22,UNEP,2017-09-01,0.0005444022507909451,0.0,0.3007656132314546,0.7096774193548387,0.46933563748079876,532188.8093894009,0.0,107.30364705179126,0.0005113895383388368,0.005025767586235781,0.3146984986832707,0.8607051657630199,0.21200938085265364,1046851.8989033649,0.0,19.58197632619768
23,UNFCCC,2017-09-01,0.0006792442122363273,0.022185158392054944,0.20881191202241867,0.6666666666666666,0.3823573536935606,10576.101864538718,0.0,61.81373243973408,0.0006814702460742193,0.008230245278459412,0.26396035183300676,0.8390050673173133,0.37650536868418844,1255709.567951225,0.0,21.70774515059297
24,ajplus,2017-09-01,0.0002904966108728731,0.07222222222222222,0.1374610163195739,0.7,0.4833333333333333,14660.866666666665,0.0,108.41709707769022,0.0011084747076162014,0.6551069404743994,-0.4416367771720607,0.8955349531116795,0.10519113666002049,1173522.779094619,0.0,42.01299395607533
25,annemariayritys,2017-09-01,0.013823631827743618,0.07151766300479495,0.036720987152619795,0.5517241379310345,0.3717961202168785,10305.17569797214,0.0,225.422580178432,0.02246947960243695,0.01586826388086315,0.19099416190608984,0.4513107377023633,0.23653550879311372,453965.39963105146,0.0,210.7369717282258
26,antonioguterres,2017-09-01,0.00041499515838981876,0.0,0.004133605317274764,1.0,0.125,2520.125,0.0,141.1035709318494,0.00014351532654915177,0.0392156862745098,0.16519703623713738,0.8235294117647058,0.4463235294117647,1236477.6897058825,0.0,22.479390404682547
27,billmckibben,2017-09-01,0.00020749757919490938,0.1,0.08172322354502148,0.4,0.3333333333333333,3035.4166666666665,0.0,41.26058790739536,0.00038379417699303006,0.0002941176470588235,0.25813160441388905,0.9388888888888889,0.14067089725026907,901592.9624295045,0.0,15.64229202347651
28,brianschatz,2017-09-01,0.0003873288144971642,0.0,-0.2775801662882169,0.8,0.3333333333333333,16426.209523809524,0.0,21.902662454324183,0.0003594664386203196,0.0,-0.1333378086160022,0.9,0.6316216334266619,281125.26720522624,0.0,11.364330002127991
29,britneyspears,2017-09-01,0.00020749757919490938,0.25,0.11394949960708614,0.5,0.5,2223.75,0.0,119.08481742968942,,,,,,,,
30,cathmckenna,2017-09-01,0.0006916585973163647,0.07523861020309518,0.08080117606223193,0.6885245901639344,0.4007367533131291,8441.037953753263,0.0,67.55531648218864,0.0005392536291805098,0.011711233048719577,0.16926327204528327,0.43301884751378483,0.2602885338296473,738006.7816173853,0.0,35.58212317638625
31,citizensclimate,2017-09-01,0.00044957808825563697,0.0,-0.06287486606584479,0.6,0.24956521739130433,1361.3752898550724,0.0,17.782443611362414,0.0008134533189867964,0.013235294117647059,0.13454353694681465,0.9292207792207792,0.16779593482761912,117662.26639741636,0.0,16.525704319976676
32,climatecouncil,2017-09-01,0.0010473687330790665,0.030407801418439715,0.011737668505670528,0.7857142857142857,0.2729673252279635,3512.0201304457955,0.0,119.6202219053544,0.0005878547669541074,0.023318731289459722,0.14312269877220346,0.568376297887576,0.2931104858423765,626724.7913003318,0.0,37.806209212348215
33,cnni,2017-09-01,0.00023239728869829852,0.013333333333333332,-0.08606360044300773,0.56,0.4066666666666666,2348.1213333333335,0.0,142.28281648789036,0.0004545332595536328,0.0008418815802182941,-0.07519998530648694,0.9098571428571428,0.5879606528810383,11647113.540173853,0.0,65.81309298159327
34,guardianeco,2017-09-01,0.0004678866981845996,0.06486344537815125,0.06053942380689328,0.6470588235294118,0.31174485344376984,12052.417911758004,0.0,51.698452470296125,0.00048644543047170706,0.012585939067025464,0.0745119894424196,0.8521191689882184,0.393970151268136,785698.0261413606,0.0,28.69724317312801
35,kylegriffin1,2017-09-01,0.00020749757919490938,0.0625,-0.1589341715570953,0.5,0.46875,10733.185416666667,0.0,397.78932581786154,0.00020213437127957477,0.004318455691509084,-0.36029245300114626,0.9583333333333334,0.8731837447468173,2415237.6413772753,0.0,35.79734543927463
36,nowthisnews,2017-09-01,0.00023055286577212153,0.0,-0.14133603211868492,0.7777777777777778,0.43333333333333335,5983.933333333333,0.0,184.8212617725689,0.00018498157237530446,0.0,-0.19594934808130915,0.18518518518518517,0.48605720908588285,9081458.458041139,0.0,107.01880543155382
37,nytimes,2017-09-01,0.00038425477628686926,0.0,-0.08815231416000853,0.7777777777777778,0.3492063492063492,5597.4629629629635,0.0,187.6810884671678,0.00019646639949472082,0.005050505050505051,0.0001351523992732837,0.9722222222222222,0.18525533108866443,29172682.260367565,0.0,116.74121521632247
38,sciam,2017-09-01,0.0005648545211416978,0.0,-0.1424218934357142,0.8333333333333334,0.45303030303030306,7732.434722222223,0.0,69.64926507786792,0.0011807231351545883,0.005364216805515983,0.0760494823952686,0.8139601800316086,0.19031566003880318,1708049.6925209481,0.0,28.686154018060563
39,tedlieu,2017-09-01,0.00027666343892654584,0.0,0.047085559380054515,1.0,0.0,14845.0,0.0,207.79940299870208,0.0007930331446427357,0.02629712015525164,0.059778072250380246,0.7647058823529411,0.3881092643677753,268024.4289483883,0.0,29.084650161200248
40,thehill,2017-09-01,0.00032762775662354115,0.10488721804511278,-0.08701080476936143,0.47368421052631576,0.3036340852130326,2807.725939849624,0.0,366.1127498798021,0.00033349443110879665,0.012452326468344774,-0.10304177280767476,0.8636237332461589,0.4529785892001696,3812531.453684712,0.0,150.9170068944517
41,tveitdal,2017-09-01,0.000527389680453728,0.027314814814814816,-0.006945550212997091,0.5833333333333334,0.3433541574166574,5575.522424913051,0.0,163.44830726418903,0.0008546999801152155,0.006680584382001885,-0.030067014816206054,0.8383771977856799,0.2601162177032859,876322.7984320577,0.0,29.037926287208403
42,washingtonpost,2017-09-01,0.0002402603548572635,0.0,-0.02342501251468484,0.6842105263157895,0.33834586466165417,23735.72556390977,0.0,158.60472629204278,0.0003025164509639865,0.18067123134763463,-0.09674332351737285,0.8858641168137735,0.3530758147961467,14171212.152755944,0.0,87.21223526717095
43,wef,2017-09-01,0.00021050479048758923,0.021739130434782608,0.0012209188742194198,0.6739130434782609,0.2994071146245059,7196.749752964427,0.0,68.32788032940427,0.0009457693006981511,0.00915986333849341,0.022146165108757533,0.8837761586848177,0.33243767767331067,5100935.787264757,0.0,42.0657569840207
44,Bill_Nye_Tho,2017-10-01,4.7955497298506984e-05,0.06666666666666667,-0.2545437337565233,0.4,0.3333333333333333,22300.9,0.0,18.164664734888028,0.0001254450144366888,0.0,-0.3557056833737554,1.0,0.9372641509433961,635543.0743710692,0.0,3.1687042327501374
45,CNN,2017-10-01,8.628424049248097e-05,0.0899110785117248,-0.15006746780606728,0.6059479553903345,0.5138070089003546,12071.846767882835,0.0,227.27883762078656,0.00035859392831663395,0.014848651071605627,-0.04949624966306451,0.4754617922393731,0.44284431075508573,25276591.095421575,0.0,80.66007509361664
46,CarbonBrief,2017-10-01,0.0001990214149971117,0.03134565081053361,0.005165265486911302,0.7404580152671756,0.2851187838857676,7793.257603516754,0.0,50.266807936876184,0.000656476562229436,0.00965398960429432,0.07961107801064173,0.8401702040470175,0.23348554757549797,538444.3857926002,0.0,24.448711185154416
47,CarolineLucas,2017-10-01,0.0001238850346878097,0.07786458333333333,-0.21679537785723996,0.53125,0.2507626488095238,11170.044326636904,0.0,86.20954086186518,0.00027491074290690034,0.01882067714268401,-0.04701230821809656,0.7700070442378135,0.3664690629046168,623380.750808466,0.0,58.47511095415292
48,ClimateCentral,2017-10-01,0.00028783447690701756,0.03317765410619374,0.03043976658861265,0.6317460317460317,0.3157149013831862,6015.541327772989,0.0,83.03956544360149,0.0007086011143723469,0.015591081246915888,0.10115856366789516,0.5592225161435694,0.2822377795245813,786730.7072484934,0.0,30.282704298271653
49,ClimateReality,2017-10-01,0.00015016016827205608,0.03636181671585421,0.01867757603373404,0.607487922705314,0.3338440709240686,8553.335571950469,0.0,90.54764050872129,0.0011988611853244243,0.010519341255839539,0.0033405298484708184,0.8157853156692708,0.3258735311934512,1339297.0073672433,0.0,37.779927648757806
50,DanRather,2017-10-01,7.992582883084497e-05,0.09438775510204081,-0.12476892397226878,0.42857142857142855,0.39005102040816325,12179.427777777777,0.0,154.22665882116166,0.00023282258903765173,0.011358975704013192,-0.016533469820141294,0.8219690895202533,0.2587621606866249,2437387.5736705367,0.0,30.157364918619333
51,EricHolthaus,2017-10-01,0.00016161886191724633,0.07424182417196688,-0.03308310011695588,0.6482412060301508,0.3515689209393716,10383.491760791747,0.0,102.23920428388116,0.0004073622880049879,0.01301402868623058,-0.08481282383013197,0.8111797242558737,0.419266039376451,1382800.6595054748,0.0,38.53273794278146
52,FAOKnowledge,2017-10-01,0.00017497908282577181,0.010434816631334356,0.17611662045083717,0.6731707317073171,0.2543455140796514,95359.95341109353,0.0,56.52583102524194,0.0005667224086941238,0.003735423220814147,0.1893378059852125,0.8703112899987384,0.23681083941675923,742808.2902078107,0.0,22.42430327434642
53,GCCThinkActTank,2017-10-01,0.006902394577831772,0.0003072687073428638,0.044675594791563994,0.5666666666666667,0.3723469784313119,18845.439509953176,0.0,175.6449106730375,0.00450511154582229,0.0033695526695951914,0.14336668995411644,0.7011686628159908,0.29757948530376854,947321.5901567187,0.0,109.74076378199635
54,Greenpeace,2017-10-01,0.00018838073823047765,0.04216932068280743,0.002633978639302528,0.6388888888888888,0.30296296231164327,5372.244991034497,0.0,132.26766960442086,0.0006323213642216609,0.01243157000483094,0.07464136915747234,0.5486272399627933,0.3570798930654776,1720484.102593231,0.0,35.421101015748874
